_id,_key,_rev,claims,description,label,type
WikiItems/Q863,Q863,_gBP4BZe---,"GND identifier,OmegaWiki Defined Meaning,capital,head of state,official language,ISO 3166-1 alpha-3,flag,instance of,Wikivoyage banner,dmoz,GeoNames ID",country in central Asia,Tajikistan,item
WikiItems/Q866,Q866,_gBP4BZm---,"instance of,chief executive officer,GND identifier",video-sharing service,YouTube,item
WikiItems/Q869,Q869,_gBP4BZq---,"OmegaWiki Defined Meaning,capital,official language,instance of,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GND identifier,population,GeoNames ID",country in Asia,Thailand,item
WikiItems/Q870,Q870,_gBP4BZ2---,,one or more self-propelled vehicles that move along fixed rails to transport passengers or cargo,train,item
WikiItems/Q873,Q873,_gBP4BaC---,"award received,GND identifier,MusicBrainz artist ID,place of birth,instance of,CANTIC",American actress,Meryl Streep,item
WikiItems/Q876,Q876,_gBP4BaO---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with atomic number of 34,selenium,item
WikiItems/Q878,Q878,_gBP4BaW---,"capital,official language,head of state,ISO 3166-1 alpha-3,instance of,time zone,flag,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Asia,United Arab Emirates,item
WikiItems/Q880,Q880,_gBP4Bai---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 78,platinum,item
WikiItems/Q883,Q883,_gBP4Baq---,"instance of,time zone,is in the administrative territorial entity,Wikivoyage banner,OKTMO identifier,category for people who died here",Russian city,Novosibirsk,item
WikiItems/Q887,Q887,_gBP4Ba2---,"list of monuments,instance of,time zone,Wikivoyage banner,OKTMO identifier,flag,is in the administrative territorial entity,category for people who died here",Russian city,Yekaterinburg,item
WikiItems/Q891,Q891,_gBP4Bb----,"list of monuments,instance of,time zone,flag,Wikivoyage banner,GND identifier,dmoz,OKTMO identifier,category for people who died here,GeoNames ID",Russian city,Nizhny Novgorod,item
WikiItems/Q894,Q894,_gBP4BbK---,"Wikivoyage banner,population,instance of,flag,is in the administrative territorial entity,GND identifier,time zone,OKTMO identifier,category for people who died here,GeoNames ID",Russian city,Samara,item
WikiItems/Q895,Q895,_gBP4BbS---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 37,rubidium,item
WikiItems/Q898,Q898,_gBP4Bba---,"instance of,is in the administrative territorial entity,Wikivoyage banner,OKTMO identifier,flag,category for people who died here",city in Russia,Omsk,item
WikiItems/Q899,Q899,_gBP4Bbi---,"instance of,GND identifier",canal in Egypt between the Mediterranean Sea and the Red Sea,Suez Canal,item
WikiItems/Q901,Q901,_gBP4Bbq---,"OmegaWiki Defined Meaning,GND identifier,instance of",someone who uses the scientific method professionally,scientist,item
WikiItems/Q903,Q903,_gBP4Bb2---,"instance of,GeoNames ID",volcano in Ethiopia,Erta Ale,item
WikiItems/Q905,Q905,_gBP4BcC---,"ISFDB author ID,place of burial,employer,father,GND identifier,MusicBrainz artist ID,place of birth,cause of death,instance of,NTA identifier (Netherlands),BNE identifier,signature,given name,CANTIC,NLA identifier",Austrian author,Franz Kafka,item
WikiItems/Q907,Q907,_gBP4BcK---,"instance of,present in work",fictional protagonist of the Half Life series of video games,Gordon Freeman,item
WikiItems/Q909,Q909,_gBP4BcS---,"place of burial,GND identifier,MusicBrainz artist ID,place of birth,instance of,NLA identifier,BNE identifier,father,award received,signature,CANTIC,cause of death,EGAXA identifier,NTA identifier (Netherlands),employer,given name","Argentinian author, one of the founders of postmodernism",Jorge Luis Borges,item
WikiItems/Q910,Q910,_gBP4Bce---,instance of,Wikipedia disambiguation page,Top Gear,item
WikiItems/Q912,Q912,_gBP4Bcq---,"capital,instance of,official language,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,GND identifier,dmoz,HDS,GeoNames ID",country in Africa,Mali,item
WikiItems/Q916,Q916,_gBP4Bcu---,"instance of,head of state,capital,official language,flag,ISO 3166-1 alpha-3,GND identifier,Wikivoyage banner,time zone,dmoz,GeoNames ID",country in Africa,Angola,item
WikiItems/Q917,Q917,_gBP4Bc6---,"instance of,capital,head of state,official language,flag,ISO 3166-1 alpha-3,main regulatory text,time zone,Wikivoyage banner,dmoz,GeoNames ID",country in Asia,Bhutan,item
WikiItems/Q920,Q920,_gBP4BdC---,"GND identifier,instance of,award received,place of birth",Dutch writer,Bernlef,item
WikiItems/Q922,Q922,_gBP4BdO---,"population,instance of,is in the administrative territorial entity,Wikivoyage banner",Croatian island,Brač,item
WikiItems/Q926,Q926,_gBP4Bda---,"Notable Names Database identifier,GND identifier,place of birth,instance of,BNE identifier,NLA identifier,CANTIC,NTA identifier (Netherlands)","Norwegian polar researcher, who was the first to reach the South Pole",Roald Amundsen,item
WikiItems/Q937,Q937,_gBP4Bdm---,"place of birth,father,signature,award received,GND identifier,MusicBrainz artist ID,instance of,NLA identifier,NTA identifier (Netherlands),student of,BNE identifier,given name,CANTIC,EGAXA identifier,dmoz,NSK identifier",German-American physicist and founder of the theory of relativity,Albert Einstein,item
WikiItems/Q943,Q943,_gBP4Bdu---,GND identifier,color,yellow,item
WikiItems/Q946,Q946,_gBP4Bdy---,"programmer,father,position held,signature,GND identifier,member of political party,instance of,place of birth",polish politician,Donald Tusk,item
WikiItems/Q950,Q950,_gBP4Bd6---,"instance of,is in the administrative territorial entity,GND identifier","museum of Christian religious Mediæval art in Cologne, Germany",Schnütgen Museum,item
WikiItems/Q951,Q951,_gBP4BeG---,,orientation along its horizontal axle parallel to the wall a roll of toilet paper is placed,toilet paper orientation,item
WikiItems/Q952,Q952,_gBP4BeS---,"type of administrative territorial entity,is in the administrative territorial entity,time zone,ISTAT ID,instance of,population",town in the Italian province of Reggio Emilia,Reggiolo,item
WikiItems/Q957,Q957,_gBP4Bea---,instance of,list of lists of Wikipedia lists,list of lists of lists,item
WikiItems/Q961,Q961,_gBP4Bei---,instance of,Polish television series,Stawka większa niż życie,item
WikiItems/Q966,Q966,_gBP4Beq---,instance of,recurring supporting character from the Polish television series More Than Life at Stake,Hermann Brunner,item
WikiItems/Q968,Q968,_gBP4Bey---,"is in the administrative territorial entity,type of administrative territorial entity,GND identifier,instance of",German city in North Rhine-West Phalia,Warburg,item
WikiItems/Q969,Q969,_gBP4Be6---,"is in the administrative territorial entity,instance of,BAG-code for Dutch towns",Dutch town in the province of North Holland,Abbekerk,item
WikiItems/Q973,Q973,_gBP4BfG---,"instance of,GND identifier","A river in Russia, the second longest river in Asia",Ob,item
WikiItems/Q977,Q977,_gBP4BfS---,"capital,instance of,head of state,official language,flag,ISO 3166-1 alpha-3,Wikivoyage banner,dmoz,time zone,GeoNames ID",country in Africa,Djibouti,item
WikiItems/Q978,Q978,_gBP4Bfa---,,"thought or idea that can be shared, in analogy to a gene",meme,item
WikiItems/Q982,Q982,_gBP4Bfi---,instance of,international alpine skiing competition,FIS Alpine Ski World Cup,item
WikiItems/Q990,Q990,_gBP4Bfu---,"instance of,original network",Polish television series,Czterej pancerni i pies,item
WikiItems/Q997,Q997,_gBP4Bf2---,"award received,GND identifier,place of birth,instance of,CANTIC,academic degree",Soviet physicist and Nobel Prize for Peace laureate,Andrei Sakharov,item
WikiItems/Q1009,Q1009,_gBP4Bg----,"instance of,capital,head of state,official language,flag,ISO 3166-1 alpha-3,time zone,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Africa,Cameroon,item
WikiItems/Q1014,Q1014,_gBP4BgK---,"capital,official language,instance of,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Africa,Liberia,item
WikiItems/Q1015,Q1015,_gBP4BgW---,"time zone,dmoz,instance of",city in South-West Slovenia,Koper,item
WikiItems/Q1025,Q1025,_gBP4Bgi---,"capital,instance of,official language,head of state,ISO 3166-1 alpha-3,flag,time zone,Wikivoyage banner,dmoz,HDS,GeoNames ID",country in Africa,Mauritania,item
WikiItems/Q1026,Q1026,_gBP4Bgq---,instance of,people from Poland,Poles,item
WikiItems/Q1029,Q1029,_gBP4Bgy---,"instance of,capital,official language,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GeoNames ID",country in Africa,Mozambique,item
WikiItems/Q1044,Q1044,_gBP4Bg6---,"capital,official language,instance of,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GeoNames ID",country in Africa,Sierra Leone,item
WikiItems/Q1045,Q1045,_gBP4BhG---,"instance of,capital,official language,head of state,ISO 3166-1 alpha-3,GND identifier,flag,time zone,Wikivoyage banner,dmoz,GeoNames ID",country in Africa,Somalia,item
WikiItems/Q1049,Q1049,_gBP4BhS---,"capital,official language,instance of,head of state,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GeoNames ID",country in Africa,Sudan,item
WikiItems/Q1052,Q1052,_gBP4Bha---,,optical phenomenon,rainbow,item
WikiItems/Q1056,Q1056,_gBP4Bhm---,"GND identifier,place of birth,instance of,member of political party,award received",Italian Marshal of the Air Force and minister,Italo Balbo,item
WikiItems/Q1057,Q1057,_gBP4Bhu---,GND identifier,biological process,metabolism,item
WikiItems/Q1058,Q1058,_gBP4Bh6---,"signature,programmer,member of political party,GND identifier,instance of,position held",Prime Minister of India,Narendra Modi,item
WikiItems/Q1066,Q1066,_gBP4BiC---,"instance of,lake inflows,is in the administrative territorial entity,GND identifier","biggest of the Great Lakes of North America, the biggest freshwater lake on the Earth",Lake Superior,item
WikiItems/Q1071,Q1071,_gBP4BiO---,GND identifier,"study of the lands, features, inhabitants, and phenomena of the Earth and other beings",geography,item
WikiItems/Q1080,Q1080,_gBP4Bia---,instance of,music project,sing for your life,item
WikiItems/Q1083,Q1083,_gBP4Bii---,"type of administrative territorial entity,is in the administrative territorial entity,time zone,ISTAT ID,Wikivoyage banner,instance of,population,category for people who died here",Italian city in the province of Campania,Salerno,item
WikiItems/Q1088,Q1088,_gBP4Biu---,GND identifier,one of the three additive primary colors located between violet and green on the optical spectrum,blue,item
WikiItems/Q1092,Q1092,_gBP4Bi2---,"describes the fictional universe,instance of,GND identifier",science fiction franchise,Star Trek,item
WikiItems/Q1093,Q1093,_gBP4BjC---,"capital,time zone,type of administrative territorial entity,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of,GND identifier",province of the Netherlands,Limburg,item
WikiItems/Q1098,Q1098,_gBP4BjK---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of","radioactive, metallic element with the atomic number 92",uranium,item
WikiItems/Q1099,Q1099,_gBP4BjS---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",element with the atomic number of 51,antimony,item
WikiItems/Q1100,Q1100,_gBP4Bje---,"OmegaWiki Defined Meaning,element symbol,GND identifier,discovery date,discovery place,instance of",chemical element with the atomic number of 52,tellurium,item
WikiItems/Q1107,Q1107,_gBP4Bjm---,instance of,animation produced in Japan,anime,item
WikiItems/Q1108,Q1108,_gBP4Bjy---,"OmegaWiki Defined Meaning,element symbol,GND identifier,discovery date,discovery place,instance of",chemical element with the atomic number of 55,caesium,item
WikiItems/Q1115,Q1115,_gBP4Bj6---,"OmegaWiki Defined Meaning,element symbol,discovery date,GND identifier,instance of",chemical element with the atomic number of 90,Thorium,item
WikiItems/Q1121,Q1121,_gBP4BkG---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 89,actinium,item
WikiItems/Q1124,Q1124,_gBP4BkO---,"position held,father,place of birth,GND identifier,MusicBrainz artist ID,instance of,member of political party,employer,NLA identifier,BNE identifier,NTA identifier (Netherlands),CANTIC,EGAXA identifier,award received,given name","American politician, 42nd president of the United States (in office from 1993 to 2001)",Bill Clinton,item
WikiItems/Q1136,Q1136,_gBP4Bka---,"instance of,developer",social news website,reddit,item
WikiItems/Q1141,Q1141,_gBP4Bki---,"instance of,is in the administrative territorial entity",quarter of the Germany city of Hamburg,Dulsberg,item
WikiItems/Q1146,Q1146,_gBP4Bku---,"element symbol,instance of",hypothetical element with the atomic number of 120,unbinilium,item
WikiItems/Q1149,Q1149,_gBP4Bk2---,"place of birth,award received,father,GND identifier,manner of death,member of political party,instance of,position held,BNE identifier,NTA identifier (Netherlands),NLA identifier,cause of death,CANTIC,Oxford Biography Index Number",Indian politician and Prime Minister,Indira Gandhi,item
WikiItems/Q1151,Q1151,_gBP4Bl----,"place of birth,place of burial,GND identifier,MusicBrainz artist ID,instance of,NLA identifier,CANTIC,Oxford Biography Index Number,given name",French Romantic composer,Hector Berlioz,item
WikiItems/Q1152,Q1152,_gBP4BlG---,"Wikivoyage banner,capital,type of administrative territorial entity,GND identifier,time zone,is in the administrative territorial entity,dmoz,instance of,category for people who died here",administrative region of France,Auvergne,item
WikiItems/Q1156,Q1156,_gBP4BlS---,"category for people who died here,instance of,is in the administrative territorial entity,time zone,Wikivoyage banner,GND identifier,dmoz","capital and district of Maharashtra, India",Mumbai,item
WikiItems/Q1161,Q1161,_gBP4Bla---,instance of,Wikimedia disambiguation page,Limburg,item
WikiItems/Q1171,Q1171,_gBP4Blm---,"capital,is in the administrative territorial entity,type of administrative territorial entity,Wikivoyage banner,GND identifier,instance of,category for people who died here",state on the western coast of India,Goa,item
WikiItems/Q1172,Q1172,_gBP4Blu---,instance of,quarter of the German city of Hamburg,Groß Borstel,item
WikiItems/Q1173,Q1173,_gBP4Bl6---,"capital,type of administrative territorial entity,time zone,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,instance of,HDS",region of France,Burgundy,item
WikiItems/Q1181,Q1181,_gBP4BmC---,instance of,quarter of the German city of Hamburg,Hoheluft,item
WikiItems/Q1183,Q1183,_gBP4BmK---,"type of administrative territorial entity,official language,ISO 3166-1 alpha-3,flag,capital,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of",unincorporated territory of the United States,Puerto Rico,item
WikiItems/Q1193,Q1193,_gBP4BmW---,"is in the administrative territorial entity,type of administrative territorial entity,Wikivoyage banner,GND identifier,instance of",Indian state,Manipur,item
WikiItems/Q1201,Q1201,_gBP4Bmi---,"type of administrative territorial entity,flag,capital,time zone,is in the administrative territorial entity,GND identifier,dmoz,Wikivoyage banner,instance of,category for people who died here",state of Germany,Saarland,item
WikiItems/Q1204,Q1204,_gBP4Bmq---,"capital,official language,type of administrative territorial entity,time zone,flag,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of,category for people who died here",state of the United States of America,Illinois,item
WikiItems/Q1213,Q1213,_gBP4Bmy---,instance of,Italian dialect from Salento,Salentino,item
WikiItems/Q1216,Q1216,_gBP4Bn----,"capital,type of administrative territorial entity,instance of,is in the administrative territorial entity,time zone,GND identifier,Wikivoyage banner,dmoz,category for people who died here",a region in North-West Italy,Piedmont,item
WikiItems/Q1224,Q1224,_gBP4BnG---,"place of birth,GND identifier,award received,position held,member of political party,instance of,NTA identifier (Netherlands),given name",10th President of the Italian Republic,Carlo Azeglio Ciampi,item
WikiItems/Q1228,Q1228,_gBP4BnO---,"award received,GND identifier,place of birth,member of political party,instance of,given name",9° President of the Italian Republic.,Oscar Luigi Scalfaro,item
WikiItems/Q1229,Q1229,_gBP4BnW---,"instance of,GND identifier,GeoNames ID",Russian river,Don,item
WikiItems/Q1232,Q1232,_gBP4Bni---,"OmegaWiki Defined Meaning,element symbol,GND identifier,instance of",chemical element with the atomic number of 105,dubnium,item
WikiItems/Q1235,Q1235,_gBP4Bnq---,"position held,GND identifier,place of birth,member of political party,instance of,given name",6° President of the Italian Republic.,Giovanni Leone,item
WikiItems/Q1247,Q1247,_gBP4Bn2---,"instance of,GND identifier","a sea of the Atlantic Ocean bounded by North, Central, and South America",Caribbean Sea,item
WikiItems/Q1251,Q1251,_gBP4Bo----,instance of,a mountain range in the South-Western part of the Alps,Cottian Alps,item
WikiItems/Q1253,Q1253,_gBP4BoG---,"GND identifier,position held,instance of,place of birth",8th Secretary-General of the United Nations,Ban Ki-moon,item
WikiItems/Q1254,Q1254,_gBP4BoS---,"award received,place of birth,GND identifier,MusicBrainz artist ID,position held,BNE identifier,NLA identifier,instance of,CANTIC,NTA identifier (Netherlands)",7th Secretary-General of the United Nations,Kofi Annan,item
WikiItems/Q1256,Q1256,_gBP4Boa---,"capital,instance of,type of administrative territorial entity,is in the administrative territorial entity,time zone,GND identifier,Wikivoyage banner,dmoz,category for people who died here",Italian region,Liguria,item
WikiItems/Q1257,Q1257,_gBP4Bom---,"position held,GND identifier,instance of,place of birth,member of political party,EGAXA identifier,BNE identifier,NLA identifier,NTA identifier (Netherlands)",6th Secretary-General of the United Nations,Boutros Boutros-Ghali,item
WikiItems/Q1258,Q1258,_gBP4Bou---,"OmegaWiki Defined Meaning,element symbol,discovery date,discovery place,GND identifier,instance of",chemical element with the atomic number of 109,meitnerium,item
WikiItems/Q1267,Q1267,_gBP4Bo6---,"MusicBrainz artist ID,GND identifier,place of birth,instance of,position held,award received,NLA identifier,NTA identifier (Netherlands),CANTIC,EGAXA identifier","Swedish diplomat, economist, and author",Dag Hammarskjöld,item
WikiItems/Q1269,Q1269,_gBP4BpG---,GND identifier,"preparations of fruits, vegetables and sugar, often canned or sealed for long-term storage",fruit preserves,item
WikiItems/Q1270,Q1270,_gBP4BpO---,"is in the administrative territorial entity,instance of",mountain range in the Western part of the Alps,Pennine Alps,item
WikiItems/Q1276,Q1276,_gBP4Bpa---,"place of birth,award received,GND identifier,MusicBrainz artist ID,instance of,CANTIC,given name",Canadian poet and singer-songwriter,Leonard Cohen,item
WikiItems/Q1277,Q1277,_gBP4Bpi---,"instance of,is in the administrative territorial entity,GND identifier",a mountain range in the Central-Eastern Alps,Rhaetian Alps,item
WikiItems/Q1281,Q1281,_gBP4Bpu---,"instance of,category's main topic",top-level category of a Wikimedia project,Category:Contents,item
WikiItems/Q1283,Q1283,_gBP4Bp2---,"instance of,GND identifier",a mountain range in the Alps,Dolomites,item
WikiItems/Q1284,Q1284,_gBP4BqC---,"instance of,capital,type of administrative territorial entity,is in the administrative territorial entity,time zone,Wikivoyage banner,GND identifier,category for people who died here",a region in Italy,Abruzzo,item
WikiItems/Q1293,Q1293,_gBP4BqK---,instance of,board game,draughts,item
WikiItems/Q1297,Q1297,_gBP4BqS---,"instance of,is in the administrative territorial entity,flag,time zone,Wikivoyage banner,dmoz,GND identifier,category for people who died here","city in Illinois, United States of America",Chicago,item
WikiItems/Q1301,Q1301,_gBP4Bqe---,"OmegaWiki Defined Meaning,element symbol,instance of",element with the atomic number of 113,ununtrium,item
WikiItems/Q1317,Q1317,_gBP4Bqm---,"place of birth,GND identifier,father,instance of,cause of death,manner of death",founder and leader of terrorist group al-Qaeda,Osama bin Laden,item
WikiItems/Q1319,Q1319,_gBP4Bqy---,"place of birth,member of political party,instance of,given name,position held",Chilean politician and President,Federico Errázuriz Echaurren,item
WikiItems/Q1320,Q1320,_gBP4Bq6---,"signature,place of birth,instance of,given name","Chilean sailor, politician and President",Jorge Montt,item
WikiItems/Q1325,Q1325,_gBP4BrG---,"father,GND identifier,place of birth,instance of,award received,CANTIC,employer,Oxford Biography Index Number,given name",British economist and Nobel Prize for Economics laureate,Friedrich Hayek,item
WikiItems/Q1330,Q1330,_gBP4BrO---,"signature,GND identifier,place of birth,member of political party,instance of,given name",Chilean politician and President,José Joaquín Prieto,item
WikiItems/Q1339,Q1339,_gBP4BrW---,"instance of,place of birth,place of burial,manner of death,cause of death,father,signature,GND identifier,MusicBrainz artist ID,BNE identifier,employer,NLA identifier,NTA identifier (Netherlands),CANTIC,dmoz,given name","German composer, organist, harpsichordist, violist and violinist",Johann Sebastian Bach,item
WikiItems/Q1341,Q1341,_gBP4Bri---,"Wikivoyage banner,instance of,official language,is in the administrative territorial entity,time zone,OKTMO identifier,located next to body of water,category for people who died here,GeoNames ID",Russian city,Tolyatti,item
WikiItems/Q1348,Q1348,_gBP4Brq---,"is in the administrative territorial entity,instance of,time zone,Wikivoyage banner,dmoz,category for people who died here",Indian city,Kolkata,item
WikiItems/Q1358,Q1358,_gBP4Br2---,"taxon rank,instance of,taxon name,Encyclopedia of Life ID",class of arthropods,Arachnida,item
WikiItems/Q1359,Q1359,_gBP4BsC---,"taxon rank,instance of,taxon name,Encyclopedia of Life ID",subphylum of Arthropoda,Chelicerata,item
WikiItems/Q1363,Q1363,_gBP4BsK---,"capital,is in the administrative territorial entity,type of administrative territorial entity,GND identifier,instance of",Indian state,Tripura,item
WikiItems/Q1372,Q1372,_gBP4BsO---,instance of,a mountain in the Graian Alps located between the Aosta Valley and Piedmont regions of north-west Italy,Gran Paradiso,item
WikiItems/Q1374,Q1374,_gBP4BsW---,"instance of,is in the administrative territorial entity,GND identifier,HDS",a mountain in the Pennine Alps on the border between Switzerland and Italy,Matterhorn,item
WikiItems/Q1375,Q1375,_gBP4Bsi---,instance of,a fantasy role-playing board game,Dungeons & Dragons,item
WikiItems/Q1376,Q1376,_gBP4Bsq---,"instance of,is in the administrative territorial entity,heritage status",museum of antiquities in Toulouse,Musée Saint-Raymond,item
WikiItems/Q1381,Q1381,_gBP4Bs2---,"instance of,place of birth",American game designer,Dave Arneson,item
WikiItems/Q1396,Q1396,_gBP4Bt----,"OmegaWiki Defined Meaning,element symbol,GND identifier,discovery date,instance of",chemical element with the atomic number of 63,europium,item
WikiItems/Q1397,Q1397,_gBP4BtK---,"capital,official language,type of administrative territorial entity,flag,time zone,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of,GND identifier,category for people who died here",state of the United States of America,Ohio,item
WikiItems/Q1398,Q1398,_gBP4BtS---,"GND identifier,MusicBrainz artist ID,instance of,place of birth,CANTIC,Sandrart.net person ID",Ancient Roman poet of the Augustan period,Virgil,item
WikiItems/Q1404,Q1404,_gBP4Bta---,"type of administrative territorial entity,instance of,GND identifier",German city in Schleswig-Holstein,Uetersen,item
WikiItems/Q1405,Q1405,_gBP4Btm---,"father,position held,GND identifier,instance of,place of birth,noble family,CANTIC,Sandrart.net person ID,BNE identifier,NLA identifier,NTA identifier (Netherlands)",founder and first emperor of the Roman Empire,Augustus,item
WikiItems/Q1416,Q1416,_gBP4Bty---,"position held,place of birth,GND identifier,cause of death,instance of,noble family,Sandrart.net person ID,given name",Emperor of Ancient Rome,Otho,item
WikiItems/Q1421,Q1421,_gBP4Bt6---,"father,position held,place of birth,GND identifier,instance of,noble family",Emperor of Ancient Rome,Titus,item
WikiItems/Q1427,Q1427,_gBP4BuG---,"father,GND identifier,instance of,noble family,place of birth,Sandrart.net person ID,Oxford Biography Index Number",Emperor of Ancient Rome,Hadrian,item
WikiItems/Q1431,Q1431,_gBP4BuO---,instance of,a Free Software community,KDE,item
WikiItems/Q1441,Q1441,_gBP4BuW---,instance of,treaty transferring territory between the United States and Soviet occupation zones of Germany after World War II,Wanfried agreement,item
WikiItems/Q1446,Q1446,_gBP4Bui---,"father,position held,place of birth,GND identifier,instance of,noble family,Sandrart.net person ID",Emperor of Ancient Rome,Caracalla,item
WikiItems/Q1448,Q1448,_gBP4Buq---,instance of,derogatory term in the United States for people who live in rural areas,hillbilly,item
WikiItems/Q1452,Q1452,_gBP4Buy---,"capital,type of administrative territorial entity,is in the administrative territorial entity,instance of,time zone,Wikivoyage banner,GND identifier,dmoz,category for people who died here",region of Italy,Basilicata,item
WikiItems/Q1455,Q1455,_gBP4Bv----,instance of,team sport version of hockey played on grass or turf with a round ball,field hockey,item
WikiItems/Q1459,Q1459,_gBP4BvG---,"taxon rank,taxon name,instance of,Encyclopedia of Life ID",species of hedgehog native to Central Asia and the Middle East,long-eared hedgehog,item
WikiItems/Q1463,Q1463,_gBP4BvS---,"given name,place of birth,GND identifier,instance of,signature,position held,cause of death,award received",Philippine politician and President,Ferdinand Marcos,item
WikiItems/Q1464,Q1464,_gBP4Bva---,"place of birth,position held,signature,father,member of political party,instance of","The 15th President of the Philippines, serving from 2010",Benigno Simeon Cojuangco Aquino III,item
WikiItems/Q1468,Q1468,_gBP4Bvi---,"is in the administrative territorial entity,instance of,type of administrative territorial entity,GND identifier","seat of Werra-Meißner-Kreis and town in Hesse, Germany",Eschwege,item
WikiItems/Q1469,Q1469,_gBP4Bvq---,"instance of,Wikivoyage banner,GND identifier,is in the administrative territorial entity",longest river in France,Loire,item
WikiItems/Q1471,Q1471,_gBP4Bv2---,"instance of,is in the administrative territorial entity,GND identifier",river in France,Seine,item
WikiItems/Q1477,Q1477,_gBP4Bw----,"instance of,MedlinePlus ID,DiseasesDB,eMedicine",a form of inflammatory bowel disease,ulcerative colitis,item
WikiItems/Q1486,Q1486,_gBP4BwK---,"instance of,flag,GND identifier,time zone,is in the administrative territorial entity,Wikivoyage banner,dmoz,category for people who died here",capital city of Argentina,Buenos Aires,item
WikiItems/Q1487,Q1487,_gBP4BwS---,instance of,computing term with a variety of meanings,hacker,item
WikiItems/Q1488,Q1488,_gBP4Bwe---,"place of burial,GND identifier,place of birth,instance of,cause of death,given name,CANTIC",French author and journalist,Robert Brasillach,item
WikiItems/Q1489,Q1489,_gBP4Bwm---,"instance of,GND identifier,time zone,is in the administrative territorial entity,Wikivoyage banner,dmoz,type of administrative territorial entity,category for people who died here",capital city of Mexico,Mexico City,item
WikiItems/Q1490,Q1490,_gBP4Bwy---,"instance of,type of administrative territorial entity,population,time zone,dmoz,GND identifier,Wikivoyage banner,category for people who died here","capital of Japan with 13 million inhabitants, and one of 47 prefectures of Japan",Tokyo,item
WikiItems/Q1494,Q1494,_gBP4Bx----,"capital,official language,flag,type of administrative territorial entity,time zone,is in the administrative territorial entity,dmoz,instance of,Wikivoyage banner,category for people who died here",state of the United States of America,Mississippi,item
WikiItems/Q1499,Q1499,_gBP4BxG---,"Wikivoyage banner,is in the administrative territorial entity,type of administrative territorial entity,GND identifier,instance of",Indian state,Uttarakhand,item
WikiItems/Q1500,Q1500,_gBP4BxO---,"NLA identifier,place of birth,GND identifier,cause of death,instance of,CANTIC,NTA identifier (Netherlands),BNE identifier,given name",national hero of the Philippines,José Rizal,item
WikiItems/Q1503,Q1503,_gBP4Bxa---,"GND identifier,place of birth,cause of death,member of political party,instance of,position held,signature,NLA identifier,NTA identifier (Netherlands),given name",President of the Philippines from 1935 to 1944,Manuel Quezon,item
WikiItems/Q1504,Q1504,_gBP4Bxi---,"type of administrative territorial entity,time zone,is in the administrative territorial entity,instance of",commune in France,Cublize,item
WikiItems/Q1506,Q1506,_gBP4Bxq---,"is in the administrative territorial entity,instance of","a public square located in the centre of Lyon, France",place des Terreaux,item
WikiItems/Q1511,Q1511,_gBP4Bx2---,"signature,GND identifier,MusicBrainz artist ID,cause of death,instance of,place of birth,BNE identifier,NLA identifier,NTA identifier (Netherlands),HDS,CANTIC,EGAXA identifier,dmoz,given name","German composer, conductor",Richard Wagner,item
WikiItems/Q1513,Q1513,_gBP4By----,"is in the administrative territorial entity,instance of","city in Maharashtra, India",Nagpur,item
WikiItems/Q1520,Q1520,_gBP4ByK---,"GND identifier,instance of,is in the administrative territorial entity,Wikivoyage banner,dmoz,time zone,category for people who died here",capital of Kazakhstan,Astana,item
WikiItems/Q1521,Q1521,_gBP4ByS---,"is in the administrative territorial entity,instance of,heritage status","Roman Catholic cathedral in Lyon, France, and the seat of the Archbishop of Lyon",Cathédrale Saint Jean-Baptiste,item
WikiItems/Q1522,Q1522,_gBP4Bye---,"capital,official language,type of administrative territorial entity,flag,time zone,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,instance of,category for people who died here",state of the United States of America,New Mexico,item
WikiItems/Q1525,Q1525,_gBP4Bym---,,traffic intersection,roundabout,item
WikiItems/Q1526,Q1526,_gBP4Byu---,"place of burial,instance of",the founding Pharaoh of Ancient Egypt's Nineteenth Dynasty,Ramesses I,item
